11/10/2023 Binghamton              60 Pittsburgh              89    
11/10/2023 Morehead St.            57 Purdue                  87    
11/10/2023 Central Connecticut     70 Quinnipiac              74    
11/10/2023 Harvard                 89 Rice                    76    
11/10/2023 Boston University       45 Rutgers                 69    
11/10/2023 Penn                    61 Saint Joseph's          69    
11/10/2023 Virginia Tech           77 South Carolina          79 N   Charlotte, NC
11/10/2023 UT Rio Grande Valley    79 South Dakota           100 n   Sioux Falls, SD
11/10/2023 Queens                  68 Southern Illinois       91    
11/10/2023 Idaho St.               53 St. Thomas              54    
11/10/2023 Sacramento St.          73 Stanford                91    
11/10/2023 St. Joseph's NY         50 Stony Brook             91    
11/10/2023 Delaware St.            59 Texas                   86    
11/10/2023 Boston College          75 The Citadel             71    
11/10/2023 Clemson                 77 UAB                     76 N   Asheville, NC
11/10/2023 Lafayette               50 UCLA                    68    
11/10/2023 North Carolina A&T      78 UNC Greensboro          94    
11/10/2023 UC Riverside            53 Utah                    82    
11/10/2023 IUPUI                   66 Valparaiso              56    
11/10/2023 USC Upstate             67 Vanderbilt              74    
11/10/2023 Samford                 65 VCU                     75    
11/10/2023 Le Moyne                57 Villanova               83    
11/10/2023 Prairie View A&M        65 Washington St.          83    
11/10/2023 Monmouth                73 West Virginia           65    
11/10/2023 Tennessee               80 Wisconsin               70    
11/10/2023 Jacksonville            56 Xavier                  79    
11/11/2023 Texas Southern          52 Arizona St.             63    
11/11/2023 Southwestern Christian  68 Arkansas Pine Bluff    112    
11/11/2023 Old Dominion            68 Ball St.                73    
11/11/2023 Arkansas St.            75 Bowling Green           81    
11/11/2023 Utah St.                66 Bradley                 72 1  
11/11/2023 Loyola MD               77 Brown                   75 1  
11/11/2023 South Alabama           70 Buffalo                 56    
11/11/2023 La Sierra               48 Cal St. Fullerton       78    
11/11/2023 Louisiana Monroe        74 Central Michigan        64    
11/11/2023 Ohio                    78 Cleveland St.           82    
11/11/2023 Albany                  78 Columbia                75    
11/11/2023 Stonehill               67 Connecticut            107    
11/11/2023 North Dakota St.        60 Creighton               89    
11/11/2023 Long Beach St.          77 DePaul                  73    
11/11/2023 Campbell                63 East Carolina           77    
11/11/2023 Georgia Southern        60 Eastern Michigan        70    
11/11/2023 Cornell                 78 Fordham                 73    
11/11/2023 William & Mary          89 George Washington       95    
11/11/2023 Holy Cross              68 Georgetown              67    
11/11/2023 Texas A&M Corpus Chris  50 Houston                 82    
11/11/2023 Utah Tech               81 Jacksonville St.        79 1  
11/11/2023 Fresno St.              69 Kent St.                79    
11/11/2023 Northeastern            74 La Salle                79    
11/11/2023 Asbury                  74 Lipscomb               113    
11/11/2023 St. Mary's MD           43 Longwood                95    
11/11/2023 Eastern Illinois        65 Loyola Chicago          89    
11/11/2023 Cairn                   65 Maryland Eastern Shore  83    
11/11/2023 Texas St.               75 Miami OH                65    
11/11/2023 Tennessee Martin        63 Mississippi St.         87    
11/11/2023 Coppin St.              60 Mount St. Mary's        74    
11/11/2023 Southern New Orleans    69 New Orleans            106    
11/11/2023 Bucknell                73 Niagara                 64    
11/11/2023 Saint Peter's           75 NJIT                    48    
11/11/2023 Nebraska Omaha          64 North Texas             75    
11/11/2023 Appalachian St.         78 Northern Illinois       91    
11/11/2023 Western Carolina        71 Notre Dame              61    
11/11/2023 Milwaukee               69 Providence              79    
11/11/2023 Siena                   48 Richmond                90    
11/11/2023 Illinois St.            71 Saint Louis             80    
11/11/2023 Saint Francis           59 Santa Clara             82    
11/11/2023 Montana St.             68 Seattle                 71    
11/11/2023 Fairleigh Dickinson     55 Seton Hall              85    
11/11/2023 Canisius                70 St. Bonaventure         67    
11/11/2023 UNT Dallas              52 Tarleton St.            93    
11/11/2023 Louisiana               78 Toledo                  87    
11/11/2023 Incarnate Word          71 Tulsa                   85    
11/11/2023 New Mexico St.          74 UC Irvine               91    
11/11/2023 San Diego               63 UC San Diego            69    
11/11/2023 Marist                  65 UMBC                    59    
11/11/2023 Saint Mary              42 UMKC                    95    
11/11/2023 UNC Wilmington          83 UNC Asheville           66    
11/11/2023 Stetson                 55 UNLV                    71    
11/11/2023 Texas Tyler             64 UT Arlington            95    
11/11/2023 Plattsburgh St.         41 Vermont                 92    
11/11/2023 Georgia St.             77 Western Michigan        70    
11/11/2023 Drexel                  74 Winthrop                72    
11/11/2023 High Point              98 Wofford                 99    
11/11/2023 Cal Poly                66 Wyoming                 80    
11/12/2023 Gardner Webb            62 Baylor                  77    
11/12/2023 Keystone                50 Binghamton             104    
11/12/2023 San Francisco           58 Boise St.               63    
11/12/2023 Eastern Washington      73 Cincinnati              85    
11/12/2023 Davidson                65 Clemson                 68 N   Asheville, NC
11/12/2023 Bard                    36 Columbia                86    
11/12/2023 Air Force               57 Delaware                65    
11/12/2023 North Carolina Central  54 Georgia                 64    
11/12/2023 Northern Arizona        55 Grand Canyon            89    
11/12/2023 Army                    64 Indiana                 72    
11/12/2023 Idaho St.               55 Iowa St.                86    
11/12/2023 Howard                  86 James Madison          107    
11/12/2023 Yale                    83 Loyola Marymount        80    
11/12/2023 Merrimack               71 Maine                   65    
11/12/2023 UC Davis                65 Montana                 78    
11/12/2023 Penn St. Wilkes Barre   60 Morgan St.              78    
11/12/2023 Lehigh                  68 North Carolina          90    
11/12/2023 Elon                    68 North Dakota            85    
11/12/2023 Sam Houston St.         70 Oklahoma St.            85    
11/12/2023 Lafayette               53 Pepperdine              76    
11/12/2023 UC Riverside            65 Portland                76    
11/12/2023 Linfield                53 Portland St.            70    
11/12/2023 Texas A&M Commerce      64 Purdue Fort Wayne       86    
11/12/2023 Eastern Mennonite       47 Radford                 84    
11/12/2023 Bryant                  57 Rutgers                 66    
11/12/2023 Weber St.               61 Saint Mary's            57    
11/12/2023 Chicago St.             78 Southern Indiana        67    
11/12/2023 North Central MN        54 St. Thomas             100    
11/12/2023 San Jose St.            42 Texas Tech              56    
11/12/2023 Robert Morris           62 Towson                  66    
11/12/2023 Maryland                63 UAB                     66 N   Asheville, NC
11/12/2023 Carolina                48 USC Upstate            106    
11/12/2023 Nevada                  83 Washington              76    
11/12/2023 St. Ambrose             59 Western Illinois        94    
11/12/2023 Friends                 65 Wichita St.             95    
11/13/2023 Siena                   58 American                78    
11/13/2023 Southern                59 Arizona                 97    
11/13/2023 Old Dominion            77 Arkansas                86    
11/13/2023 East Tennessee St.      47 Butler                  81    
11/13/2023 Cal St. Bakersfield     63 California              83    
11/13/2023 Arkansas Pine Bluff     85 Central Arkansas        83    
11/13/2023 Framingham St.          42 Central Connecticut     99    
11/13/2023 Johnson & Wales NC      61 Charleston Southern    102    
11/13/2023 Stony Brook             63 Duquesne                85    
11/13/2023 Mount Saint Mary        45 Fairfield               92    
11/13/2023 Central Michigan        67 Florida St.             94    
11/13/2023 Stetson                 48 Houston                 79    
11/13/2023 South Dakota St.        68 Kansas St.              91    
11/13/2023 SUNY Canton             46 Le Moyne               105    
11/13/2023 Hannibal LaGrange       52 Lindenwood              83    
11/13/2023 Lyon                    43 Louisiana Tech         100    
11/13/2023 Quinnipiac              81 Massachusetts          102    
11/13/2023 Champion Christian      46 McNeese St.            110    
11/13/2023 FIU                     80 Miami FL                86    
11/13/2023 Western Carolina        66 Middle Tennessee        64    
11/13/2023 SIU Edwardsville        50 Missouri                68    
11/13/2023 Oral Roberts            69 Missouri St.            84    
11/13/2023 Rider                   50 Nebraska                64    
11/13/2023 Hampton                 68 Norfolk St.             75    
11/13/2023 Illinois Tech           55 Northern Illinois      107    
11/13/2023 Stephen F. Austin       96 Northwestern St.        70    
11/13/2023 Villanova               72 Penn                    76    
11/13/2023 LIU                     53 Pepperdine              88    
11/13/2023 Florida Gulf Coast      74 Pittsburgh              86    
11/13/2023 The Citadel             64 Presbyterian            71    
11/13/2023 Xavier                  71 Purdue                  83    
11/13/2023 VMI                     64 South Carolina          74    
11/13/2023 North Florida           77 South Carolina St.      87    
11/13/2023 Michigan                89 St. John's              73    
11/13/2023 Brescia                 72 Tennessee Martin        90    
11/13/2023 Dallas Christian        45 Texas A&M Corpus Chris 104    
11/13/2023 La Verne                57 UC San Diego           116    
11/13/2023 UC Santa Barbara        76 UTEP                    89    
